Statistical profiling result from isolate-0x6371090-74757-v8.log, (7215 ticks, 1 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
     50  100.0%        Function: ^Module._extensions..js node:internal/modules/cjs/loader:1106:37
     50  100.0%          LazyCompile: *Module._load node:internal/modules/cjs/loader:757:24
     49   98.0%            Function: ^Module.require node:internal/modules/cjs/loader:991:36
      1    2.0%            Function: ^<anonymous> node:internal/modules/esm/translators:159:67
     37   42.5%      Function: ^wrapSafe node:internal/modules/cjs/loader:1011:18
     37  100.0%        Function: ^Module._compile node:internal/modules/cjs/loader:1051:37
     37  100.0%          Function: ^Module._extensions..js node:internal/modules/cjs/loader:1106:37
     37  100.0%            Function: ^Module.load node:internal/modules/cjs/loader:963:33
     72    1.5%    Function: ^handle /home/raul/coderhousecourse/github_entregable/Loggers Y Gzip/node_modules/express/lib/router/layer.js:86:49
     72  100.0%      LazyCompile: ~next /home/raul/coderhousecourse/github_entregable/Loggers Y Gzip/node_modules/express/lib/router/route.js:114:16
     72  100.0%        LazyCompile: ~dispatch /home/raul/coderhousecourse/github_entregable/Loggers Y Gzip/node_modules/express/lib/router/route.js:98:45
     72  100.0%          Function: ^handle /home/raul/coderhousecourse/github_entregable/Loggers Y Gzip/node_modules/express/lib/router/layer.js:86:49
     72  100.0%            Function: ^<anonymous> /home/raul/coderhousecourse/github_entregable/Loggers Y Gzip/node_modules/express/lib/router/index.js:275:64

   1583   21.9%  LazyCompile: *<anonymous> file:///home/raul/coderhousecourse/github_entregable/Loggers%20Y%20Gzip/routes/random.js:10:23
   1583  100.0%    Function: ^handle /home/raul/coderhousecourse/github_entregable/Loggers Y Gzip/node_modules/express/lib/router/layer.js:86:49
   1583  100.0%      LazyCompile: ~next /home/raul/coderhousecourse/github_entregable/Loggers Y Gzip/node_modules/express/lib/router/route.js:114:16
   1583  100.0%        LazyCompile: ~dispatch /home/raul/coderhousecourse/github_entregable/Loggers Y Gzip/node_modules/express/lib/router/route.js:98:45
   1583  100.0%          Function: ^handle /home/raul/coderhousecourse/github_entregable/Loggers Y Gzip/node_modules/express/lib/router/layer.js:86:49
   1583  100.0%            Function: ^<anonymous> /home/raul/coderhousecourse/github_entregable/Loggers Y Gzip/node_modules/express/lib/router/index.js:275:64

    235    3.3%  __write@@GLIBC_2.2.5
    112   47.7%    /home/raul/.nvm/versions/node/v17.3.0/bin/node
      4    3.6%      Function: ^emit node:events:340:44
      1   25.0%        LazyCompile: ~processIncomingData /home/raul/coderhousecourse/github_entregable/Loggers Y Gzip/node_modules/mongoose/node_modules/mongodb/lib/cmap/message_stream.js:79:29
      1  100.0%          LazyCompile: ~_write /home/raul/coderhousecourse/github_entregable/Loggers Y Gzip/node_modules/mongoose/node_modules/mongodb/lib/cmap/message_stream.js:26:11
      1  100.0%            LazyCompile: ~writeOrBuffer node:internal/streams/writable:366:23
      1   25.0%        LazyCompile: ~addChunk /home/raul/coderhousecourse/github_entregable/Loggers Y Gzip/node_modules/winston/node_modules/readable-stream/lib/_stream_readable.js:295:18
      1  100.0%          LazyCompile: ~readableAddChunk /home/raul/coderhousecourse/github_entregable/Loggers Y Gzip/node_modules/winston/node_modules/readable-stream/lib/_stream_readable.js:249:26
      1  100.0%            LazyCompile: ~Readable.push /home/raul/coderhousecourse/github_entregable/Loggers Y Gzip/node_modules/winston/node_modules/readable-stream/lib/_stream_readable.js:222:36
      1   25.0%        LazyCompile: ~<anonymous> /home/raul/coderhousecourse/github_entregable/Loggers Y Gzip/node_modules/mongoose/node_modules/mongodb/lib/sdam/server.js:58:62
      1  100.0%          Function: ^emit node:events:340:44
      1  100.0%            LazyCompile: ~<anonymous> /home/raul/coderhousecourse/github_entregable/Loggers Y Gzip/node_modules/mongoose/node_modules/mongodb/lib/sdam/monitor.js:200:52
      1   25.0%        LazyCompile: ~<anonymous> /home/raul/coderhousecourse/github_entregable/Loggers Y Gzip/node_modules/mongoose/node_modules/mongodb/lib/cmap/connection_pool.js:379:34
      1  100.0%          Function: ^emit node:events:340:44
      1  100.0%            LazyCompile: ~messageHandler /home/raul/coderhousecourse/github_entregable/Loggers Y Gzip/node_modules/mongoose/node_modules/mongodb/lib/cmap/connection.js:421:35
      4    3.6%      /home/raul/.nvm/versions/node/v17.3.0/bin/node
      1   25.0%        LazyCompile: ~strEscape /home/raul/coderhousecourse/github_entregable/Loggers Y Gzip/node_modules/safe-stable-stringify/stable.js:36:20
      1  100.0%          LazyCompile: ~stringifyReplacerFn /home/raul/coderhousecourse/github_entregable/Loggers Y Gzip/node_modules/safe-stable-stringify/stable.js:386:30
      1  100.0%            LazyCompile: ~stringify /home/raul/coderhousecourse/github_entregable/Loggers Y Gzip/node_modules/safe-stable-stringify/stable.js:538:20
      1   25.0%        LazyCompile: ~parseOptions /home/raul/coderhousecourse/github_entregable/Loggers Y Gzip/node_modules/mongoose/node_modules/mongodb/lib/connection_string.js:205:22
      1  100.0%          LazyCompile: ~MongoClient /home/raul/coderhousecourse/github_entregable/Loggers Y Gzip/node_modules/mongoose/node_modules/mongodb/lib/mongo_client.js:60:16
      1  100.0%            LazyCompile: ~<anonymous> /home/raul/coderhousecourse/github_entregable/Loggers Y Gzip/node_modules/mongoose/lib/connection.js:776:31
      1   25.0%        Function: ~<anonymous> /home/raul/coderhousecourse/github_entregable/Loggers Y Gzip/node_modules/depd/index.js:1:1
      1  100.0%          LazyCompile: ~Module._compile node:internal/modules/cjs/loader:1051:37
      1  100.0%            LazyCompile: ~Module._extensions..js node:internal/modules/cjs/loader:1106:37
      1   25.0%        Function: ~<anonymous> /home/raul/coderhousecourse/github_entregable/Loggers Y Gzip/node_modules/debug/src/node.js:1:1
      1  100.0%          Function: ^Module._compile node:internal/modules/cjs/loader:1051:37
      1  100.0%            Function: ^Module._extensions..js node:internal/modules/cjs/loader:1106:37
      2    1.8%      Script: ~<anonymous> file:///home/raul/coderhousecourse/github_entregable/Loggers%20Y%20Gzip/utils/logger.js:1:1
      2  100.0%        /home/raul/.nvm/versions/node/v17.3.0/bin/node
      2  100.0%          /home/raul/.nvm/versions/node/v17.3.0/bin/node
      2  100.0%            LazyCompile: ~run node:internal/modules/esm/module_job:190:12
      2    1.8%      LazyCompile: ~translatePeerCertificate node:_tls_common:124:34
      2  100.0%        LazyCompile: ~translatePeerCertificate node:_tls_common:124:34
      2  100.0%          LazyCompile: ~translatePeerCertificate node:_tls_common:124:34
      2  100.0%            LazyCompile: ~TLSSocket.getPeerCertificate node:_tls_wrap:984:50
      2    1.8%      LazyCompile: ~serializeInto /home/raul/coderhousecourse/github_entregable/Loggers Y Gzip/node_modules/bson/lib/parser/serializer.js:550:23
      1   50.0%        LazyCompile: ~serializeObject /home/raul/coderhousecourse/github_entregable/Loggers Y Gzip/node_modules/bson/lib/parser/serializer.js:258:25
      1  100.0%          LazyCompile: ~serializeInto /home/raul/coderhousecourse/github_entregable/Loggers Y Gzip/node_modules/bson/lib/parser/serializer.js:550:23
      1  100.0%            LazyCompile: ~serializeObject /home/raul/coderhousecourse/github_entregable/Loggers Y Gzip/node_modules/bson/lib/parser/serializer.js:258:25
      1   50.0%        LazyCompile: ~serialize /home/raul/coderhousecourse/github_entregable/Loggers Y Gzip/node_modules/bson/lib/bson.js:111:19
      1  100.0%          LazyCompile: ~toBin /home/raul/coderhousecourse/github_entregable/Loggers Y Gzip/node_modules/mongoose/node_modules/mongodb/lib/cmap/commands.js:82:10
      1  100.0%            LazyCompile: ~writeCommand /home/raul/coderhousecourse/github_entregable/Loggers Y Gzip/node_modules/mongoose/node_modules/mongodb/lib/cmap/message_stream.js:35:17
      2    1.8%      LazyCompile: ~moduleResolve node:internal/modules/esm/resolve:898:23
      2  100.0%        LazyCompile: ~defaultResolve node:internal/modules/esm/resolve:964:24
      2  100.0%          LazyCompile: ~resolve node:internal/modules/esm/loader:509:16
      2  100.0%            LazyCompile: ~getModuleJob node:internal/modules/esm/loader:242:21
      2    1.8%      LazyCompile: ~Topology /home/raul/coderhousecourse/github_entregable/Loggers Y Gzip/node_modules/mongoose/node_modules/mongodb/lib/sdam/topology.js:58:16
      2  100.0%        LazyCompile: ~createTopology /home/raul/coderhousecourse/github_entregable/Loggers Y Gzip/node_modules/mongoose/node_modules/mongodb/lib/operations/connect.js:53:24
      2  100.0%          LazyCompile: ~<anonymous> /home/raul/coderhousecourse/github_entregable/Loggers Y Gzip/node_modules/mongoose/node_modules/mongodb/lib/operations/connect.js:41:67
      2  100.0%            LazyCompile: ~<anonymous> /home/raul/coderhousecourse/github_entregable/Loggers Y Gzip/node_modules/mongoose/node_modules/mongodb/lib/connection_string.js:72:39
      2    1.8%      LazyCompile: ~Faker /home/raul/coderhousecourse/github_entregable/Loggers Y Gzip/node_modules/faker/lib/index.js:24:16
      2  100.0%        Function: ~<anonymous> /home/raul/coderhousecourse/github_entregable/Loggers Y Gzip/node_modules/faker/index.js:1:1
      2  100.0%          Function: ^Module._compile node:internal/modules/cjs/loader:1051:37
      2  100.0%            Function: ^Module._extensions..js node:internal/modules/cjs/loader:1106:37
     34   14.5%    LazyCompile: *compileFunction node:vm:308:25
     19   55.9%      LazyCompile: *Module._compile node:internal/modules/cjs/loader:1051:37
     19  100.0%        Function: ^Module._extensions..js node:internal/modules/cjs/loader:1106:37
     19  100.0%          LazyCompile: *Module._load node:internal/modules/cjs/loader:757:24
     18   94.7%            Function: ^Module.require node:internal/modules/cjs/loader:991:36
      1    5.3%            Function: ^<anonymous> node:internal/modules/esm/translators:159:67
     15   44.1%      Function: ^wrapSafe node:internal/modules/cjs/loader:1011:18
     15  100.0%        Function: ^Module._compile node:internal/modules/cjs/loader:1051:37
     15  100.0%          Function: ^Module._extensions..js node:internal/modules/cjs/loader:1106:37
     15  100.0%            Function: ^Module.load node:internal/modules/cjs/loader:963:33

    123    1.7%  /usr/lib/x86_64-linux-gnu/libc-2.31.so
     50   40.7%    /home/raul/.nvm/versions/node/v17.3.0/bin/node
      5   10.0%      /home/raul/.nvm/versions/node/v17.3.0/bin/node
      1   20.0%        LazyCompile: ~module.exports.get_napi_build_versions_raw /home/raul/coderhousecourse/github_entregable/Loggers Y Gzip/node_modules/@mapbox/node-pre-gyp/lib/util/napi.js:140:54
      1  100.0%          LazyCompile: ~module.exports.validate_package_json /home/raul/coderhousecourse/github_entregable/Loggers Y Gzip/node_modules/@mapbox/node-pre-gyp/lib/util/napi.js:46:48
      1  100.0%            LazyCompile: ~validate_config /home/raul/coderhousecourse/github_entregable/Loggers Y Gzip/node_modules/@mapbox/node-pre-gyp/lib/util/versioning.js:195:25
      1   20.0%        Function: ^stat node:internal/modules/cjs/loader:151:14
      1  100.0%          Function: ^tryFile node:internal/modules/cjs/loader:384:17
      1  100.0%            Function: ^tryExtensions node:internal/modules/cjs/loader:400:23
      1   20.0%        Function: ^readPackageScope node:internal/modules/cjs/loader:321:26
      1  100.0%          Function: ^trySelf node:internal/modules/cjs/loader:441:17
      1  100.0%            Function: ^Module._resolveFilename node:internal/modules/cjs/loader:848:35
      1   20.0%        Function: ^readPackage node:internal/modules/cjs/loader:290:21
      1  100.0%          Function: ^readPackageScope node:internal/modules/cjs/loader:321:26
      1  100.0%            Function: ^trySelf node:internal/modules/cjs/loader:441:17
      1   20.0%        Function: ^compileFunction node:vm:308:25
      1  100.0%          Function: ^wrapSafe node:internal/modules/cjs/loader:1011:18
      1  100.0%            Function: ^Module._compile node:internal/modules/cjs/loader:1051:37
      4    8.0%      LazyCompile: *realpathSync node:fs:2410:22
      2   50.0%        LazyCompile: *Module._findPath node:internal/modules/cjs/loader:494:28
      2  100.0%          Function: ^Module._resolveFilename node:internal/modules/cjs/loader:848:35
      2  100.0%            LazyCompile: *Module._load node:internal/modules/cjs/loader:757:24
      2   50.0%        Function: ^toRealPath node:internal/modules/cjs/loader:393:20
      2  100.0%          Function: ^tryFile node:internal/modules/cjs/loader:384:17
      2  100.0%            Function: ^tryExtensions node:internal/modules/cjs/loader:400:23
      3    6.0%      LazyCompile: *resolve node:path:1091:10
      2   66.7%        Function: ^readPackage node:internal/modules/cjs/loader:290:21
      2  100.0%          Function: ^readPackageScope node:internal/modules/cjs/loader:321:26
      1   50.0%            Function: ^trySelf node:internal/modules/cjs/loader:441:17
      1   50.0%            Function: ^Module._extensions..js node:internal/modules/cjs/loader:1106:37
      1   33.3%        Function: ^Module._findPath node:internal/modules/cjs/loader:494:28
      1  100.0%          Function: ^Module._resolveFilename node:internal/modules/cjs/loader:848:35
      1  100.0%            Function: ^Module._load node:internal/modules/cjs/loader:757:24
      3    6.0%      LazyCompile: *readPackage node:internal/modules/cjs/loader:290:21
      3  100.0%        LazyCompile: *readPackageScope node:internal/modules/cjs/loader:321:26
      2   66.7%          Function: ^Module._extensions..js node:internal/modules/cjs/loader:1106:37
      2  100.0%            LazyCompile: *Module._load node:internal/modules/cjs/loader:757:24
      1   33.3%          Function: ^trySelf node:internal/modules/cjs/loader:441:17
      1  100.0%            Function: ^Module._resolveFilename node:internal/modules/cjs/loader:848:35
      3    6.0%      LazyCompile: *Module._load node:internal/modules/cjs/loader:757:24
      3  100.0%        Function: ^Module.require node:internal/modules/cjs/loader:991:36
      3  100.0%          Function: ^require node:internal/modules/cjs/helpers:101:31
      1   33.3%            Function: ~<anonymous> /home/raul/coderhousecourse/github_entregable/Loggers Y Gzip/node_modules/faker/lib/locales/pt_BR/index.js:1:1
      1   33.3%            Function: ~<anonymous> /home/raul/coderhousecourse/github_entregable/Loggers Y Gzip/node_modules/faker/lib/locales/nl_BE/address/index.js:1:1
      1   33.3%            Function: ~<anonymous> /home/raul/coderhousecourse/github_entregable/Loggers Y Gzip/node_modules/faker/lib/locales/fr/address/index.js:1:1
      3    6.0%      LazyCompile: *Module._findPath node:internal/modules/cjs/loader:494:28
      3  100.0%        Function: ^Module._resolveFilename node:internal/modules/cjs/loader:848:35
      3  100.0%          LazyCompile: *Module._load node:internal/modules/cjs/loader:757:24
      3  100.0%            Function: ^Module.require node:internal/modules/cjs/loader:991:36
      2    4.0%      Function: ^Module._load node:internal/modules/cjs/loader:757:24
      2  100.0%        Function: ^Module.require node:internal/modules/cjs/loader:991:36
      2  100.0%          Function: ^require node:internal/modules/cjs/helpers:101:31
      1   50.0%            Function: ~<anonymous> /home/raul/coderhousecourse/github_entregable/Loggers Y Gzip/node_modules/semver/index.js:1:1
      1   50.0%            Function: ~<anonymous> /home/raul/coderhousecourse/github_entregable/Loggers Y Gzip/node_modules/faker/lib/locales/es_MX/lorem/index.js:1:1
      2    4.0%      Function: ^Module._findPath node:internal/modules/cjs/loader:494:28
      1   50.0%        LazyCompile: ~Module._resolveFilename node:internal/modules/cjs/loader:848:35
      1  100.0%          Function: ^Module._load node:internal/modules/cjs/loader:757:24
      1  100.0%            Function: ^Module.require node:internal/modules/cjs/loader:991:36
      1   50.0%        Function: ^Module._resolveFilename node:internal/modules/cjs/loader:848:35
      1  100.0%          Function: ^Module._load node:internal/modules/cjs/loader:757:24
      1  100.0%            Function: ^Module.require node:internal/modules/cjs/loader:991:36
      1    2.0%      LazyCompile: ~vary /home/raul/coderhousecourse/github_entregable/Loggers Y Gzip/node_modules/vary/index.js:133:15
      1  100.0%        LazyCompile: ~onResponseHeaders /home/raul/coderhousecourse/github_entregable/Loggers Y Gzip/node_modules/compression/index.js:140:47
      1  100.0%          LazyCompile: ~writeHead /home/raul/coderhousecourse/github_entregable/Loggers Y Gzip/node_modules/on-headers/index.js:28:29
      1  100.0%            LazyCompile: ~_implicitHeader node:_http_server:262:68
      1    2.0%      LazyCompile: ~validate_config /home/raul/coderhousecourse/github_entregable/Loggers Y Gzip/node_modules/@mapbox/node-pre-gyp/lib/util/versioning.js:195:25
      1  100.0%        LazyCompile: ~exports.find /home/raul/coderhousecourse/github_entregable/Loggers Y Gzip/node_modules/@mapbox/node-pre-gyp/lib/pre-binding.js:17:24
      1  100.0%          Function: ~<anonymous> /home/raul/coderhousecourse/github_entregable/Loggers Y Gzip/node_modules/bcrypt/bcrypt.js:1:1
      1  100.0%            Function: ^Module._compile node:internal/modules/cjs/loader:1051:37
      1    2.0%      LazyCompile: ~urlencoded /home/raul/coderhousecourse/github_entregable/Loggers Y Gzip/node_modules/body-parser/lib/types/urlencoded.js:43:21
      1  100.0%        Script: ~<anonymous> file:///home/raul/coderhousecourse/github_entregable/Loggers%20Y%20Gzip/routes/index.js:1:1
      1  100.0%          /home/raul/.nvm/versions/node/v17.3.0/bin/node
      1  100.0%            /home/raul/.nvm/versions/node/v17.3.0/bin/node
      1    2.0%      LazyCompile: ~urlParse node:url:153:18
      1  100.0%        LazyCompile: ~validate_config /home/raul/coderhousecourse/github_entregable/Loggers Y Gzip/node_modules/@mapbox/node-pre-gyp/lib/util/versioning.js:195:25
      1  100.0%          LazyCompile: ~exports.find /home/raul/coderhousecourse/github_entregable/Loggers Y Gzip/node_modules/@mapbox/node-pre-gyp/lib/pre-binding.js:17:24
      1  100.0%            Function: ~<anonymous> /home/raul/coderhousecourse/github_entregable/Loggers Y Gzip/node_modules/bcrypt/bcrypt.js:1:1
      1    2.0%      LazyCompile: ~tryReadSync node:fs:429:21
      1  100.0%        LazyCompile: ~readFileSync node:fs:450:22
      1  100.0%          LazyCompile: ~cjsPreparseModuleExports node:internal/modules/esm/translators:190:34
      1  100.0%            LazyCompile: ~commonjsStrategy node:internal/modules/esm/translators:146:60
      1    2.0%      LazyCompile: ~toRealPath node:internal/modules/cjs/loader:393:20
      1  100.0%        LazyCompile: ~Module._findPath node:internal/modules/cjs/loader:494:28
      1  100.0%          LazyCompile: ~resolveMainPath node:internal/modules/run_main:12:25
      1  100.0%            LazyCompile: ~executeUserEntryPoint node:internal/modules/run_main:74:31
      1    2.0%      LazyCompile: ~setHeader node:_http_outgoing:574:57
      1  100.0%        LazyCompile: ~setcookie /home/raul/coderhousecourse/github_entregable/Loggers Y Gzip/node_modules/express-session/index.js:655:19
      1  100.0%          LazyCompile: ~<anonymous> /home/raul/coderhousecourse/github_entregable/Loggers Y Gzip/node_modules/express-session/index.js:220:28
      1  100.0%            LazyCompile: ~writeHead /home/raul/coderhousecourse/github_entregable/Loggers Y Gzip/node_modules/on-headers/index.js:28:29
      1    2.0%      LazyCompile: ~serializeInto /home/raul/coderhousecourse/github_entregable/Loggers Y Gzip/node_modules/bson/lib/parser/serializer.js:550:23
      1  100.0%        LazyCompile: ~serialize /home/raul/coderhousecourse/github_entregable/Loggers Y Gzip/node_modules/bson/lib/bson.js:111:19
      1  100.0%          LazyCompile: ~serializeBson /home/raul/coderhousecourse/github_entregable/Loggers Y Gzip/node_modules/mongoose/node_modules/mongodb/lib/cmap/commands.js:530:18
      1  100.0%            LazyCompile: ~makeDocumentSegment /home/raul/coderhousecourse/github_entregable/Loggers Y Gzip/node_modules/mongoose/node_modules/mongodb/lib/cmap/commands.js:522:24
      1    2.0%      LazyCompile: ~parseOpts /home/raul/coderhousecourse/github_entregable/Loggers Y Gzip/node_modules/@mapbox/node-pre-gyp/lib/node-pre-gyp.js:144:37
      1  100.0%        LazyCompile: ~Run /home/raul/coderhousecourse/github_entregable/Loggers Y Gzip/node_modules/@mapbox/node-pre-gyp/lib/node-pre-gyp.js:78:13
      1  100.0%          LazyCompile: ~exports.find /home/raul/coderhousecourse/github_entregable/Loggers Y Gzip/node_modules/@mapbox/node-pre-gyp/lib/pre-binding.js:17:24
      1  100.0%            Function: ~<anonymous> /home/raul/coderhousecourse/github_entregable/Loggers Y Gzip/node_modules/bcrypt/bcrypt.js:1:1
      1    2.0%      LazyCompile: ~makeFirstMessage /home/raul/coderhousecourse/github_entregable/Loggers Y Gzip/node_modules/mongoose/node_modules/mongodb/lib/cmap/auth/scram.js:61:26
      1  100.0%        LazyCompile: ~<anonymous> /home/raul/coderhousecourse/github_entregable/Loggers Y Gzip/node_modules/mongoose/node_modules/mongodb/lib/cmap/auth/scram.js:25:32
      1  100.0%          LazyCompile: ~<anonymous> node:internal/crypto/random:104:43
      1  100.0%            LazyCompile: ~onJobDone node:internal/crypto/random:299:19
      1    2.0%      LazyCompile: ~getAll /home/raul/coderhousecourse/github_entregable/Loggers Y Gzip/node_modules/mongodb-connection-string-url/lib/index.js:41:11
      1  100.0%        LazyCompile: ~parseOptions /home/raul/coderhousecourse/github_entregable/Loggers Y Gzip/node_modules/mongoose/node_modules/mongodb/lib/connection_string.js:205:22
      1  100.0%          LazyCompile: ~MongoClient /home/raul/coderhousecourse/github_entregable/Loggers Y Gzip/node_modules/mongoose/node_modules/mongodb/lib/mongo_client.js:60:16
      1  100.0%            LazyCompile: ~<anonymous> /home/raul/coderhousecourse/github_entregable/Loggers Y Gzip/node_modules/mongoose/lib/connection.js:776:31
      1    2.0%      LazyCompile: ~get pathname node:internal/url:911:15
      1  100.0%        LazyCompile: ~getPackageScopeConfig node:internal/modules/esm/resolve:224:31
      1  100.0%          LazyCompile: ~packageResolve node:internal/modules/esm/resolve:815:24
      1  100.0%            LazyCompile: ~moduleResolve node:internal/modules/esm/resolve:898:23
      1    2.0%      LazyCompile: ~continueScramConversation /home/raul/coderhousecourse/github_entregable/Loggers Y Gzip/node_modules/mongoose/node_modules/mongodb/lib/cmap/auth/scram.js:93:35
      1  100.0%        LazyCompile: ~<anonymous> /home/raul/coderhousecourse/github_entregable/Loggers Y Gzip/node_modules/mongoose/node_modules/mongodb/lib/cmap/auth/scram.js:85:80
      1  100.0%          LazyCompile: ~messageHandler /home/raul/coderhousecourse/github_entregable/Loggers Y Gzip/node_modules/mongoose/node_modules/mongodb/lib/cmap/connection.js:421:35
      1  100.0%            Function: ^emit node:events:340:44
      1    2.0%      LazyCompile: ~cjsPreparseModuleExports node:internal/modules/esm/translators:190:34
      1  100.0%        LazyCompile: ~commonjsStrategy node:internal/modules/esm/translators:146:60
      1  100.0%          /home/raul/.nvm/versions/node/v17.3.0/bin/node
      1    2.0%      LazyCompile: ~ZlibBase._destroy node:zlib:406:39
      1  100.0%        LazyCompile: ~_destroy node:internal/streams/destroy:77:18
      1  100.0%          LazyCompile: ~destroy node:internal/streams/destroy:39:17
      1  100.0%            LazyCompile: ~endReadableNT node:internal/streams/readable:1336:23
      1    2.0%      LazyCompile: ~Transform /home/raul/coderhousecourse/github_entregable/Loggers Y Gzip/node_modules/winston/node_modules/readable-stream/lib/_stream_transform.js:98:19
      1  100.0%        LazyCompile: ~Logger /home/raul/coderhousecourse/github_entregable/Loggers Y Gzip/node_modules/winston/lib/winston/logger.js:40:14
      1  100.0%          LazyCompile: ~DerivedLogger /home/raul/coderhousecourse/github_entregable/Loggers Y Gzip/node_modules/winston/lib/winston/create-logger.js:43:16
      1  100.0%            LazyCompile: ~module.exports /home/raul/coderhousecourse/github_entregable/Loggers Y Gzip/node_modules/winston/lib/winston/create-logger.js:25:27
      1    2.0%      LazyCompile: ~StatsBase.isDirectory node:internal/fs/utils:414:43
      1  100.0%        LazyCompile: ~finalizeResolution node:internal/modules/esm/resolve:367:28
      1  100.0%          LazyCompile: ~moduleResolve node:internal/modules/esm/resolve:898:23
      1  100.0%            LazyCompile: ~defaultResolve node:internal/modules/esm/resolve:964:24
      1    2.0%      LazyCompile: ~ReadableState node:internal/streams/readable:83:23
      1  100.0%        LazyCompile: ~Readable node:internal/streams/readable:186:18
      1  100.0%          LazyCompile: ~Duplex node:internal/streams/duplex:52:16
      1  100.0%            LazyCompile: ~Socket node:net:283:16
      1    2.0%      LazyCompile: ~Pager.set /home/raul/coderhousecourse/github_entregable/Loggers Y Gzip/node_modules/memory-pager/index.js:81:32
      1  100.0%        LazyCompile: ~Bitfield /home/raul/coderhousecourse/github_entregable/Loggers Y Gzip/node_modules/sparse-bitfield/index.js:5:19
      1  100.0%          LazyCompile: ~Bitfield /home/raul/coderhousecourse/github_entregable/Loggers Y Gzip/node_modules/sparse-bitfield/index.js:5:19
      1  100.0%            LazyCompile: ~read /home/raul/coderhousecourse/github_entregable/Loggers Y Gzip/node_modules/saslprep/lib/memory-code-points.js:15:14
      1    2.0%      LazyCompile: ~Connection.onOpen /home/raul/coderhousecourse/github_entregable/Loggers Y Gzip/node_modules/mongoose/lib/connection.js:626:39
      1  100.0%        LazyCompile: ~_setClient /home/raul/coderhousecourse/github_entregable/Loggers Y Gzip/node_modules/mongoose/lib/connection.js:826:20
      1  100.0%          LazyCompile: ~<anonymous> /home/raul/coderhousecourse/github_entregable/Loggers Y Gzip/node_modules/mongoose/lib/connection.js:786:20
      1  100.0%            LazyCompile: ~<anonymous> /home/raul/coderhousecourse/github_entregable/Loggers Y Gzip/node_modules/mongoose/node_modules/mongodb/lib/utils.js:494:13
      1    2.0%      LazyCompile: ~<anonymous> /home/raul/coderhousecourse/github_entregable/Loggers Y Gzip/node_modules/normalizr/dist/normalizr.js:132:59
      1  100.0%        /home/raul/.nvm/versions/node/v17.3.0/bin/node
      1  100.0%          LazyCompile: ~define /home/raul/coderhousecourse/github_entregable/Loggers Y Gzip/node_modules/normalizr/dist/normalizr.js:131:34
      1  100.0%            LazyCompile: ~EntitySchema /home/raul/coderhousecourse/github_entregable/Loggers Y Gzip/node_modules/normalizr/dist/normalizr.js:92:24
      1    2.0%      LazyCompile: ~<anonymous> /home/raul/coderhousecourse/github_entregable/Loggers Y Gzip/node_modules/mongoose/node_modules/mongodb/lib/cmap/connect.js:73:85
      1  100.0%        LazyCompile: ~messageHandler /home/raul/coderhousecourse/github_entregable/Loggers Y Gzip/node_modules/mongoose/node_modules/mongodb/lib/cmap/connection.js:421:35
      1  100.0%          Function: ^emit node:events:340:44
      1  100.0%            LazyCompile: ~processIncomingData /home/raul/coderhousecourse/github_entregable/Loggers Y Gzip/node_modules/mongoose/node_modules/mongodb/lib/cmap/message_stream.js:79:29
      1    2.0%      LazyCompile: *readPackageScope node:internal/modules/cjs/loader:321:26
      1  100.0%        Function: ^trySelf node:internal/modules/cjs/loader:441:17
      1  100.0%          Function: ^Module._resolveFilename node:internal/modules/cjs/loader:848:35
      1  100.0%            Function: ^Module._load node:internal/modules/cjs/loader:757:24
      1    2.0%      Function: ~<anonymous> /home/raul/coderhousecourse/github_entregable/Loggers Y Gzip/node_modules/knex/lib/execution/transaction.js:1:1
      1  100.0%        LazyCompile: *Module._compile node:internal/modules/cjs/loader:1051:37
      1  100.0%          Function: ^Module._extensions..js node:internal/modules/cjs/loader:1106:37
      1  100.0%            LazyCompile: *Module._load node:internal/modules/cjs/loader:757:24
      1    2.0%      Function: ^Module._compile node:internal/modules/cjs/loader:1051:37
      1  100.0%        Function: ^Module._extensions..js node:internal/modules/cjs/loader:1106:37
      1  100.0%          Function: ^Module.load node:internal/modules/cjs/loader:963:33
      1  100.0%            Function: ^Module._load node:internal/modules/cjs/loader:757:24
      7    5.7%    LazyCompile: *compileFunction node:vm:308:25
      4   57.1%      Function: ^wrapSafe node:internal/modules/cjs/loader:1011:18
      4  100.0%        Function: ^Module._compile node:internal/modules/cjs/loader:1051:37
      4  100.0%          Function: ^Module._extensions..js node:internal/modules/cjs/loader:1106:37
      4  100.0%            Function: ^Module.load node:internal/modules/cjs/loader:963:33
      3   42.9%      LazyCompile: *Module._compile node:internal/modules/cjs/loader:1051:37
      3  100.0%        Function: ^Module._extensions..js node:internal/modules/cjs/loader:1106:37
      3  100.0%          LazyCompile: *Module._load node:internal/modules/cjs/loader:757:24
      3  100.0%            Function: ^Module.require node:internal/modules/cjs/loader:991:36

    108    1.5%  fwrite@@GLIBC_2.2.5
     55   50.9%    /home/raul/.nvm/versions/node/v17.3.0/bin/node
      4    7.3%      LazyCompile: ~value node:internal/console/constructor:320:20
      4  100.0%        LazyCompile: ~log node:internal/console/constructor:358:6
      4  100.0%          /home/raul/.nvm/versions/node/v17.3.0/bin/node
